id,sensor_id,start_time,end_time,in_count,out_count,sensor_type,ip_address,device_type,serial_number,sensor_group,tmestamp
211782,North Exit,7/24/2019 13:45,7/24/2019 14:00,0,40,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 14:00
211783,Coffee Shop,7/24/2019 13:45,7/24/2019 14:00,7,10,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 14:00
211784,SW Exit,7/24/2019 13:45,7/24/2019 14:00,0,2,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 14:00
211776,SE Exit,7/24/2019 13:50,7/24/2019 13:51,0,2,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 13:51
211777,SE Exit,7/24/2019 13:52,7/24/2019 13:53,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 13:53
211778,SE Exit,7/24/2019 13:54,7/24/2019 13:55,0,3,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 13:55
211779,SE Exit,7/24/2019 13:55,7/24/2019 13:56,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 13:56
211788,Coffee Shop,7/24/2019 14:00,7/24/2019 14:15,11,5,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 14:15
211789,North Exit,7/24/2019 14:00,7/24/2019 14:15,1,8,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 14:15
211790,SE Entrance,7/24/2019 14:00,7/24/2019 14:15,8,6,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 14:15
211791,North Entrance,7/24/2019 14:00,7/24/2019 14:15,15,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 14:15
211785,SE Exit,7/24/2019 14:01,7/24/2019 14:02,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 14:02
211786,SE Exit,7/24/2019 14:05,7/24/2019 14:06,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 14:06
211787,SE Exit,7/24/2019 14:13,7/24/2019 14:14,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 14:14
211792,SE Entrance,7/24/2019 14:15,7/24/2019 14:30,12,9,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 14:30
211793,Coffee Shop,7/24/2019 14:15,7/24/2019 14:30,2,8,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 14:30
211794,North Exit,7/24/2019 14:15,7/24/2019 14:30,0,6,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 14:30
211795,North Entrance,7/24/2019 14:15,7/24/2019 14:30,9,2,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 14:30
211797,SW Exit,7/24/2019 14:30,7/24/2019 14:45,0,1,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 14:45
211798,Coffee Shop,7/24/2019 14:30,7/24/2019 14:45,11,5,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 14:45
211799,North Exit,7/24/2019 14:30,7/24/2019 14:45,0,17,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 14:45
211800,North Entrance,7/24/2019 14:30,7/24/2019 14:45,6,4,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 14:45
211801,SE Entrance,7/24/2019 14:30,7/24/2019 14:45,12,3,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 14:45
211796,SE Exit,7/24/2019 14:32,7/24/2019 14:33,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 14:33
211804,Coffee Shop,7/24/2019 14:45,7/24/2019 15:00,15,68,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 15:00
211805,North Exit,7/24/2019 14:45,7/24/2019 15:00,0,2,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 15:00
211806,SE Entrance,7/24/2019 14:45,7/24/2019 15:00,32,9,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 15:00
211807,North Entrance,7/24/2019 14:45,7/24/2019 15:00,14,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 15:00
211802,SE Exit,7/24/2019 14:46,7/24/2019 14:47,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 14:47
211803,SE Exit,7/24/2019 14:51,7/24/2019 14:52,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 14:52
211813,SE Entrance,7/24/2019 15:00,7/24/2019 15:15,10,3,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 15:15
211814,Coffee Shop,7/24/2019 15:00,7/24/2019 15:15,1,7,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 15:15
211815,SW Exit,7/24/2019 15:00,7/24/2019 15:15,0,4,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 15:15
211816,North Exit,7/24/2019 15:00,7/24/2019 15:15,0,10,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 15:15
211817,North Entrance,7/24/2019 15:00,7/24/2019 15:15,9,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 15:15
211808,SE Exit,7/24/2019 15:01,7/24/2019 15:02,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:02
211809,SE Exit,7/24/2019 15:02,7/24/2019 15:03,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:03
211810,SE Exit,7/24/2019 15:05,7/24/2019 15:06,0,2,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:06
211811,SE Exit,7/24/2019 15:07,7/24/2019 15:08,0,2,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:08
211812,SE Exit,7/24/2019 15:08,7/24/2019 15:09,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 15:09
211820,Coffee Shop,7/24/2019 15:15,7/24/2019 15:30,33,17,SINGLE_SENSOR,10.18.152.164,PC2,D8:80:39:D3:92:ED,Coffee Shop,7/24/2019 15:30
